Givenchy;S;Oblique;60;24,64
Bvlgari;S;Omnia;65;39,2
Calvin Klein;S;One;100;28
Calvin Klein;S;One summer;100;32,48
Givenchy;S;Only;50;25,76
Yves Saint Laurent;S;Opium EDT;50;30,24
Yves Saint Laurent;S;Opium EDT;100;39,2
Givenchy;S;Organza;100;31,36
Givenchy;S;Organza;15;12,32
Roberto Cavalli;S;Oro new;40;33,6
Paco Rabanne;S;Paco Rabanne Pour Elle;50;25,76
Paloma Picasso;S;Paloma Picasso EDT;100;35,84
Naomi Campbell ;S;Paradise Passion;50;22,4
Naomi Campbell ;S;Paradise Passion;200;12,32
Naomi Campbell ;S;Paradise Passion;150;12,32
Lagerfeld;V;Photo;125;24,64
Lancome;S;Poeme;50;31,36
Lancome;S;Poeme;100;41,44
Christian Dior;S;Poison;100;32,48
Bvlgari;S;Pour Femme;50;21,84
Jil Sander;V;Pour Homme;125;29,12
Jil Sander;V;Pour Homme;150;16,8
Nina Ricci;S;Premier Jour EDP;50;31,36
Nina Ricci;S;Premier Jour EDP;100;33,6
Nina Ricci;S;Premier Jour Summer;100;28
Mont Blanc;S;Presence d'une Femme ;75;29,12
Mont Blanc;S;Presence d'une Femme Intense;75;29,12
Elizabeth Arden;S;Provocative Woman;100;40,32
Elizabeth Arden;S;Provocative Woman;30;19,04
J.Sander;S;Pure;75;29,12
Jil Sander;V;Pure;100;30,24
Mexx;S;Pure Life;60;24,64
Mexx;V;Pure Life;75;23,52
Marc O'Polo;S;Pure Morning;50;24,64
Marc O'Polo;V;Pure Morning;100;26,88
Christian Dior;S;Pure Poison;50;39,2
Christian Dior;S;Pure Poison;100;51,52
Ralph Lauren;S;Ralph;50;24,64
Roberto Cavalli;S;Roberto Cavalli;75;38,08
Roberto Cavalli;V;Roberto Cavalli;50;30,24
Escada;S;Rockin' Rio;100;32,48
Escada;S;Rockin' Rio;50;29,12
Laura Biagiotti;S;Roma;100;22,4
Ralph Lauren;S;Romance;50;30,24
Ralph Lauren;S;Romance;100;34,72
Ralph Lauren;V;Romance;100;32,48
Ralph Lauren;V;Romance Silver;50;32,48
Salvador Dali Parfums;S;Rubylips;100;26,88
Sonia Rykiel;V;Rykiel Man;125;23,52
Sonia Rykiel;S;Rykiel Rose EDP;50;20,16
Sonia Rykiel;S;Rykiel Woman;125;25,76
Sonia Rykiel;S;Rykiel Woman;75;25,76
S.T.Dupont;S;S.T.Dupont;100;30,24
S.T.Dupont;V;S.T.Dupont pour Homme;100;23,52
Salvador Dali Parfums;S;Salvador Dali clas.;50;25,76
